Vardas                  Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas359               Pavarde359                 2         2         3         4         5         5         6         7         7         8         8         8         9         9        10         4         
Vardas746               Pavarde746                 1         2         3         3         3         4         4         4         4         5         5         6         7         9         9         5         
Vardas79                Pavarde79                  1         1         1         2         2         3         3         3         5         6         6         7         9        10        10         5         
Vardas801               Pavarde801                 2         2         2         3         4         7         7         7         7         7         7         8         9        10        10         4         
Vardas575               Pavarde575                 1         1         1         2         3         4         8         8         8         8         9         9        10        10        10         4         
Vardas295               Pavarde295                 1         3         4         4         5         5         5         7         7         7         7         8         9        10        10         4         
Vardas56                Pavarde56                  1         1         1         2         2         2         3         3         4         6         7         8         9         9        10         5         
Vardas548               Pavarde548                 2         3         3         3         4         4         4         4         5         5         5         6         6         7         7         5         
Vardas901               Pavarde901                 1         1         1         1         2         2         3         5         6         6         6         7         8         9        10         5         
Vardas632               Pavarde632                 1         2         2         2         2         3         3         4         4         4         6         8         8         9        10         5         
Vardas627               Pavarde627                 1         1         3         3         3         3         3         3         4         6         6         6         7         9         9         5         
Vardas272               Pavarde272                 1         1         3         3         4         4         4         4         4         4         5         6         6         8        10         5         
Vardas265               Pavarde265                 1         1         2         3         3         4         4         4         4         5         5         6         8         8         9         5         
Vardas122               Pavarde122                 1         1         1         2         2         3         3         4         5         5         6         7         8         9        10         5         
Vardas806               Pavarde806                 2         2         4         4         4         5         5         6         6         8         8         8         9         9        10         4         
Vardas264               Pavarde264                 2         3         3         4         4         5         6         7         7         8         8         8         8         8         9         4         
Vardas64                Pavarde64                  1         2         3         5         5         5         6         7         7         7         8         8         8         9         9         4         
Vardas739               Pavarde739                 1         1         3         4         4         6         6         7         7         7         8         8         9         9        10         4         
Vardas496               Pavarde496                 1         1         2         2         4         5         6         7         8         8         8         9         9        10        10         4         
Vardas829               Pavarde829                 1         3         5         6         6         7         8         9         9         9        10        10        10        10        10         3         
Vardas997               Pavarde997                 1         2         2         3         3         3         4         4         4         5         5         6         7         8         9         5         
Vardas421               Pavarde421                 2         2         3         3         4         5         5         6         6         7         8         8        10        10        10         4         
Vardas289               Pavarde289                 1         1         2         3         6         6         7         7         7         7         7         8         8         9        10         4         
Vardas452               Pavarde452                 1         3         3         3         3         4         4         7         7         8         9         9         9         9        10         4         
