Vardas                  Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas1                 Pavarde1                   1         1         2         2         3         3         4         4         7         8         8        10        10        10        10         6         
Vardas2                 Pavarde2                   1         1         1         2         3         4         5         5         6         6         6         7         8         8         9         7         
Vardas3                 Pavarde3                   1         1         1         3         3         4         4         6         6         7         8         8        10        10        10         8         
Vardas5                 Pavarde5                   2         2         2         2         2         3         4         5         5         7         8         8         8         9        10         8         
Vardas6                 Pavarde6                   1         1         3         3         5         5         6         7         7         9         9         9         9        10        10         8         
Vardas7                 Pavarde7                   1         1         2         3         3         4         5         7         7         8         9         9         9        10        10         9         
Vardas10                Pavarde10                  1         1         2         3         3         3         3         3         5         6         8         9         9         9        10         7         
Vardas11                Pavarde11                  1         2         2         2         4         6         6         7         7         8         9         9        10        10        10         6         
Vardas13                Pavarde13                  1         1         1         2         4         4         4         6         6         6         7         9         9         9        10         5         
Vardas14                Pavarde14                  1         2         2         2         3         3         6         7         7         7        10        10        10        10        10         5         
Vardas15                Pavarde15                  2         2         3         4         4         5         5         6         6         8         9         9         9        10        10         5         
Vardas16                Pavarde16                  1         1         1         2         2         2         2         3         4         7         7         7         9         9        10         8         
Vardas17                Pavarde17                  1         1         2         3         4         5         5         5         7         7         8         8         9        10        10         7         
Vardas21                Pavarde21                  1         1         1         1         2         2         2         3         3         4         5         6         6         7         8         6         
Vardas22                Pavarde22                  4         4         5         5         5         6         7         7         8         8         8         9        10        10        10         6         
Vardas24                Pavarde24                  1         1         2         3         4         5         5         5         5         5         5         6         6         7         8        10         
Vardas25                Pavarde25                  1         1         2         2         3         3         4         5         5         6         7         7         8         9        10         9         
Vardas28                Pavarde28                  1         1         2         2         3         4         4         6         6         6         9         9        10        10        10        10         
Vardas29                Pavarde29                  1         4         4         4         4         5         5         6         8         8         9        10        10        10        10         5         
Vardas31                Pavarde31                  1         1         3         3         4         6         8         9         9        10        10        10        10        10        10        10         
Vardas34                Pavarde34                  2         2         2         3         4         5         6         6         7         8         8         9         9        10        10         5         
Vardas35                Pavarde35                  1         3         3         3         4         5         5         5         5         5         6         7         8        10        10         7         
Vardas36                Pavarde36                  1         1         1         2         2         3         4         7         8         8         8         8         9         9        10         7         
Vardas37                Pavarde37                  1         1         1         1         2         2         2         3         5         5         6         7         7         8         9        10         
Vardas38                Pavarde38                  1         2         3         3         3         4         5         6         7         7         7         9        10        10        10         7         
Vardas40                Pavarde40                  1         2         3         4         4         4         4         5         5         8         8         9        10        10        10        10         
Vardas41                Pavarde41                  1         1         2         2         2         4         5         6         6         7         7         9         9        10        10         8         
Vardas42                Pavarde42                  1         1         2         2         4         4         5         8         8         8         9         9        10        10        10        10         
Vardas47                Pavarde47                  1         1         2         2         2         3         3         4         5         7         7         7         9        10        10         8         
Vardas48                Pavarde48                  2         3         4         4         5         6         7         7         7         8         8        10        10        10        10         4         
Vardas50                Pavarde50                  1         1         2         2         4         5         5         5         5         5         7         7         7         8        10         6         
Vardas52                Pavarde52                  1         1         2         2         3         4         4         4         5         6         7         8         8         9        10         8         
Vardas54                Pavarde54                  2         2         2         4         5         5         5         5         5         6         8         8         9         9        10         8         
Vardas56                Pavarde56                  1         3         3         4         5         6         8         8         9         9        10        10        10        10        10         8         
Vardas57                Pavarde57                  1         2         3         3         3         5         5         5         6         7         7         7         7         8         9         7         
Vardas58                Pavarde58                  1         1         2         2         3         3         6         6         7         7         8         9         9         9        10        10         
Vardas60                Pavarde60                  1         1         2         3         3         6         6         6         7         7         8         8         9        10        10         6         
Vardas63                Pavarde63                  1         1         2         2         3         5         6         6         7         7         7         7         7         8        10         7         
Vardas66                Pavarde66                  1         3         3         3         4         4         5         5         5         6         7         7         8        10        10        10         
Vardas67                Pavarde67                  1         2         2         2         2         3         4         6         6         7         7         7         9        10        10         9         
Vardas68                Pavarde68                  1         1         1         1         3         3         3         3         4         5         6         6         6         7         8         9         
Vardas70                Pavarde70                  1         2         3         3         3         3         4         7         8         8         8         8         9        10        10         8         
Vardas71                Pavarde71                  1         1         4         5         5         6         6         7         7         7         8         8         8        10        10         6         
Vardas72                Pavarde72                  1         2         3         3         4         4         5         6         7         7         8         8         9         9        10         9         
Vardas73                Pavarde73                  1         2         2         2         2         3         3         4         5         5         5         6         7         7        10        10         
Vardas75                Pavarde75                  1         2         3         3         4         4         4         4         5         5         6         9         9         9         9        10         
Vardas76                Pavarde76                  1         1         1         1         2         3         3         4         4         6         6         7         8         9         9         7         
Vardas77                Pavarde77                  4         5         5         6         6         7         8         8         8         9         9         9        10        10        10         9         
