Vardas                  Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9       ND10      ND11      ND12      ND13      ND14      ND15      Egz.
Vardas1                 Pavarde1                   8         2         7         4         2         3         4        10        10         1        10         3         1        10         8         6
Vardas2                 Pavarde2                   5         2         8         8         1         5         6         9         6         1         7         4         1         6         3         7
Vardas3                 Pavarde3                   1         4         6         7        10         4         8         8         1         6         1        10        10         3         3         8
Vardas4                 Pavarde4                   6         2         7         2         4         8         1         8         4         4         1         8         8         7         6         2
Vardas5                 Pavarde5                   2         8         5         4         7         9         2         5         3        10         8         2         2         8         2         8
Vardas6                 Pavarde6                   9         3         1        10         9         6         7         7         5        10         1         3         9         9         5         8
Vardas7                 Pavarde7                   5         9         3         1         9         4         9         2         8         7         7        10         3         1        10         9
Vardas8                 Pavarde8                   8         7         3         3        10         9         4         7         5         3        10         1        10         8         5         2
Vardas9                 Pavarde9                   6         7         7         1         2         5         2         3         9         5         7         4         7         1         4         2
Vardas10                Pavarde10                  3         8         5        10         3         3         9         1         9         2         3         6         9         1         3         7
Vardas11                Pavarde11                  1        10         6         7        10         9         4         9         2         7        10         2         2         8         6         6
Vardas12                Pavarde12                  4         3         6         7         8         1         4         6         7         1         9        10         2         8         4         4
Vardas13                Pavarde13                  6         9         1         2        10         6         4         9         1         4         7         1         4         6         9         5
Vardas14                Pavarde14                  2        10        10         3         6        10         7         2         7        10         2         1        10         3         7         5
Vardas15                Pavarde15                  5        10         9         6         4         9        10         3         4         2         5         2         8         9         6         5
Vardas16                Pavarde16                  9         1         2         7         3         4        10         1         9         2         7         2         1         7         2         8
Vardas17                Pavarde17                  5         7         4         3         1        10         5         2         7         1         9         5         8        10         8         7
Vardas18                Pavarde18                  2         6         1         9         9         9         5         8         7        10         8         6         7         4         4         1
Vardas19                Pavarde19                  2         5         9         7        10         3         4         3         8         2         4         3         5        10         2         2
Vardas20                Pavarde20                  6         8         6         2         3         1         1         8         3         8         1         4         6         5         5         1
Vardas21                Pavarde21                  7         5         2         4         3         1         6         8         3         1         2         1         6         2         1         6
Vardas22                Pavarde22                  9        10         4         6         7         7         8         8         5        10         5         4         8        10         5         6
Vardas23                Pavarde23                  1         1        10         4         8         8         4        10         8         2         4         3         5         1         2         4
Vardas24                Pavarde24                  6         2         6         1         5         1         4         5         7         8         5         3         5         5         5        10
Vardas25                Pavarde25                  4         3         7         1         3        10         5         8         7         9         1         2         2         6         5         9
Vardas26                Pavarde26                  4         8         9         7         7         1         3         7         2         6         7         9         1         1         6         4
Vardas27                Pavarde27                  4         9         4         9        10         8         2         2         1         1         2         7         4         5         9         3
Vardas28                Pavarde28                  2        10         9         1         4         4         6         6         6         9         3         2        10        10         1        10
Vardas29                Pavarde29                  4         5        10        10         8        10         1         5         4        10         9         8         4         4         6         5
Vardas30                Pavarde30                  5         3         3         3         8         9         6         1         2         2        10         8        10         8         5         3
Vardas31                Pavarde31                  9        10         3         3         4        10         1         9        10         6         8        10        10         1        10        10
Vardas32                Pavarde32                  7        10         8         9         3         2         6         7         5         9         8         2         8         6        10         2
Vardas33                Pavarde33                  3         5         6         1         8         3         4         1         5         6         5         6         5         3        10         4
Vardas34                Pavarde34                  7         5         9        10        10         3         9         4         8         6         2         2         6         8         2         5
Vardas35                Pavarde35                  3         6         5         5         3         5         1         4         7         3         8        10         5        10         5         7
Vardas36                Pavarde36                  1         2         1         9         7         8         1         9         8         8         8        10         3         2         4         7
Vardas37                Pavarde37                  3         5         5         1         9         1         2         8         1         7         2         6         2         7         1        10
Vardas38                Pavarde38                  3         7         1         2        10         7        10         9         3         3        10         5         4         7         6         7
Vardas39                Pavarde39                  3        10        10         2         2         1         4         8        10        10         3         7         4         7         2         2
Vardas40                Pavarde40                  1         2         4         8         5         8         9         4         4         5         4        10        10        10         3        10
Vardas41                Pavarde41                  1         2         9         6        10         5         6         2         2         9        10         4         1         7         7         8
Vardas42                Pavarde42                  9         4         2        10         8         1         4         8         8         9        10         5        10         1         2        10
Vardas43                Pavarde43                  1        10         9         9         7         6         2         7        10         4         7         4         3         9         4         1
Vardas44                Pavarde44                  3        10         6         2         8         6         8        10         3         7         3        10         2        10         2         1
Vardas45                Pavarde45                  3         6         5         3         6         8         3         4         2         9        10         2         9         9         4         1
Vardas46                Pavarde46                  9         2         5         1         4         3         6         9        10         1         3         2         5         1         4         2
Vardas47                Pavarde47                  7         2        10         3         5         2         7         3         4         1         2        10         7         1         9         8
Vardas48                Pavarde48                  3        10        10        10         8        10         5         6         7         2         7         7         4         8         4         4
Vardas49                Pavarde49                  4         6         2         3         7         2         1         7         4         2         8         2        10         3         1         1
Vardas50                Pavarde50                  10         7         5         7         5         2         2         4         8         5         7         5         1         1         5         6
Vardas51                Pavarde51                  4         3         6         5         7         8         9         9         4         4         6         3         9         7         7         1
Vardas52                Pavarde52                  4         3         4         2         7         4         1         5         6        10         2         8         1         8         9         8
Vardas53                Pavarde53                  6         3         2        10         9         7         2         3         6         8         2         6        10         3        10         2
Vardas54                Pavarde54                  2         2         5         2        10         4         5         5         9         5         8         5         6         9         8         8
Vardas55                Pavarde55                  3        10         4         3         1         1         1         1         4         2         3         9         1         3         8         5
Vardas56                Pavarde56                  9         5        10        10         4         6         8         3        10         8         3         9        10        10         1         8
Vardas57                Pavarde57                  3         3         7         2         3         8         5         7         5         5         7         1         6         9         7         7
Vardas58                Pavarde58                  7         6        10         9         9         9         3         2         1         1         8         6         2         3         7        10
Vardas59                Pavarde59                  4         9         8        10         1         5         5         2         1         9         7         5         7         6         2         4
Vardas60                Pavarde60                  6         6         3         6         3         9         2        10         1         7         1         8        10         7         8         6
Vardas61                Pavarde61                  9        10         4         8         2         6         7         8         5        10         6         5         3         9         1         1
Vardas62                Pavarde62                  5         1         2         3         1         4        10         2         2         3         7         5         1         1         6         1
Vardas63                Pavarde63                  7         6         2         2         5         7        10         1         6         7         1         3         8         7         7         7
Vardas64                Pavarde64                  1         1        10        10         7         3         2         1         8         5         4         2         1         7        10         2
Vardas65                Pavarde65                  6         6         2         2         6         9         1         2         6         4         9         6         5        10         5         4
Vardas66                Pavarde66                  10         5         8         6         4        10         4         3         3         3         7         5         1         5         7        10
Vardas67                Pavarde67                  7         2         2         3         4         7         1        10         7         9         6         2        10         2         6         9
Vardas68                Pavarde68                  5         3         3         6         1         7         3         1         1         8         6         6         3         4         1         9
Vardas69                Pavarde69                  10         6         4         6         5         5         8         9         4         3         9         3         2         6         1         4
